samples	26029_8733.fas	26034_27_86.fas	26035_270_94.fas	26037_71_87.fas	26038_84_89.fas	31148_M14_240411.fas	31149_M14_240412.fas	31150_M14_240413.fas	31151_M14_240414.fas	31152_M14_240415.fas	31155_M14_240416.fas	31156_M14_240417.fas	31157_M14_240418.fas	31158_M14_240419.fas	31159_M14_240420.fas	31160_M14_240421.fas	31161_M14_240422.fas	31317_NM3686.fas	31319_M10208.fas	31320_NM3687.fas	31322_M20599.fas	31323_M1412.fas	34547_4119.fas	34548_9506.fas	34549_9757.fas	34550_12888.fas	34570_73696.fas	34571_73704.fas	34572_75643.fas	34573_75689.fas	38176_M37087.fas	38177_M37113.fas	38178_M37959.fas	38179_M37128.fas	38180_M37958.fas	39836_M03473.fas.ref	39837_M05730.fas	39838_M13970.fas	39839_M13973.fas	39840_M14431.fas	441_8680.fas	468_BRAZ10.fas	54017_M37059.fas	54018_M37060.fas	54019_M37064.fas	54020_M37065.fas	54021_M37067.fas	54022_M37068.fas	54023_M37069.fas	54024_M37074.fas	54025_M37082.fas	54026_M37087.fas	54027_M37089.fas	54028_M37093.fas	54029_M37095.fas	54030_M37098.fas	54031_M37099.fas	54032_M37102.fas	54033_M37103.fas	54034_M37104.fas	54035_M37108.fas	54036_M37111.fas	54037_M37112.fas	54038_M37113.fas	54039_M37114.fas	54040_M37115.fas	54041_M37116.fas	54042_M37118.fas	54043_M37121.fas	54044_M37122.fas	54045_M37125.fas	54046_M37126.fas	54047_M37127.fas	54048_M37128.fas	54049_M37133.fas	54050_M37134.fas	54051_M37135.fas	54052_M37139.fas	54053_M37141.fas	54054_M37144.fas	54055_M37148.fas	54056_M37150.fas	54057_M37151.fas	54058_M37152.fas	54059_M37153.fas	54060_M37154.fas	54061_M37958.fas	54062_M37959.fas	54063_M37960.fas	56749_MCRJ_001.fas	56750_MCRJ_074.fas	56751_MCRJ_107.fas	56752_MCRJ_108.fas	61385_M_011_16.fas	61386_M_015_16.fas	61387_M_023_16.fas	61388_M_046_16.fas	61389_M_047_16.fas	61556_M_009_16.fas	61557_M_014_16.fas	61558_M_016_16.fas	61559_M_018_16.fas	61560_M_026_16.fas	61561_M_064_16.fas	61562_M_067_16.fas	61563_M_079_16.fas	61564_M_092_16.fas	61565_M_103_16.fas	64032_M42473.fas	650_M40_94.fas	84_IAL2229.fas	93479_M42412.fas	93480_M42413.fas	93481_M42414.fas	93482_M42415.fas	93483_M42416.fas	93484_M42418.fas	93485_M42419.fas	93486_M42420.fas	93487_M42421.fas	93488_M42424.fas	93489_M42425.fas	93490_M42426.fas	93491_M42427.fas	93492_M42428.fas	93493_M42429.fas	93494_M42431.fas	93495_M42435.fas	93496_M42441.fas	93497_M42442.fas	93498_M42444.fas	93499_M42445.fas	93500_M42446.fas	93501_M42448.fas	93502_M42450.fas	93503_M42451.fas	93504_M42454.fas	93505_M42456.fas	93506_M42458.fas	93507_M42459.fas	93508_M42481.fas	93509_M42460.fas	93510_M42461.fas	93511_M42467.fas	93512_M42468.fas	93513_M42470.fas	93514_M42471.fas	93515_M42475.fas	93516_M42476.fas	93517_M42477.fas	93518_M42478.fas	93519_M42479.fas	93520_M42480.fas	93521_M42483.fas	93522_M42484.fas	93523_M42485.fas	93524_M42469.fas
NmSA1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NmSA55	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NmSA32	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1	0	0	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1
NmSA20	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1	1	1	0	1	1	1	1	1	1	1	0	0	0	1	0	1	0	1	1	0	1	1	1	0	1	1	1	0	1	1	1	1	0	0	0	1	1	0	1	1	0	1	1	0	0	1	1	0	1	1	1	1	0	1	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	1	1	1	0	1	1	1	1	1	1	0	1	1	0	0	1	0	0	1	1	1	0	0	0	1	0	0	0	1	0	1	1	0	0	1	1	0	0	1	0	1	1	0	0	1	1	0	0	1	0	0	1	1	0	1	1	0	0
NmSA21	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1	1	1	0	1	1	1	1	1	1	1	0	0	0	1	0	1	0	1	1	0	1	1	1	0	1	1	1	0	1	1	1	1	0	0	0	1	1	0	1	1	0	1	1	0	0	1	1	0	1	1	1	1	0	1	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	1	1	1	0	1	1	1	1	1	0	0	1	1	0	0	1	0	0	1	1	1	0	0	0	1	0	0	0	1	0	1	1	0	0	1	1	0	0	1	0	1	1	0	0	1	1	0	0	1	0	0	1	1	0	1	1	0	0
NmSA24	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	0	1	1	1	0	0	1	1	0	0	1	1	0	0	0	0	1	1	0	1	1	0	0	0	1	1	0	1	1	1	0	0	1	1	1	0	1	1	1	0	1	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	1	1	1	1	1	0	0	1	0	1	0	1	1	1	1	0	1	1	0	1	1	0	1	0	1	0	1	1	1	1	0	1	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1
NmSA13	0	0	0	0	0	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1	1	1	0	1	1	1	1	1	1	1	0	0	0	1	0	1	0	1	1	0	1	1	1	0	1	1	1	0	1	1	1	1	0	0	0	1	1	0	1	1	0	1	1	0	0	1	1	0	1	0	1	1	0	1	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	1	1	1	0	1	1	1	1	1	0	0	1	1	0	0	1	0	0	1	1	1	0	0	0	1	0	1	0	1	0	1	1	0	0	1	1	0	0	1	0	1	1	0	0	0	1	0	0	1	0	0	1	1	0	1	1	0	0
NmSA46	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	0	1	0	0	0	0	0	0	1	1	1	1	0	1	1	1	0	1	1	1	0	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	0	0	1	1	0	1	0	1	0	0	1	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	1	1	1	1	0	0	1	1	1	0	1	0	1	0	0	0	1	0	1	1	0	1	1	1	0	1	1	1	1	1	0	0	0	1	0	0	1	0	0	1	1	1	1	1	0	1
NmSA28	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	1	1	1	1	0	0	0	0	0	1	0	0	1	1	1	1	0	0	1	1	0	1	1	1	0	1	1	0	0	0	0	1	1	1	1	1	1	0	1	1	1	0	1	1	0	1	1	0	1	0	1	0	1	0	0	1	1	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	1	1	1	0	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	0	1	1	0	0	1	1	0	0	1	0	0	1	1	1	1	1	0	1
NmSA22	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1	0	0	0	1	1	0	1	1	1	1	0	0	0	1	0	1	0	1	1	0	0	1	1	0	0	1	1	0	0	1	0	1	1	0	0	1	1	0	1	1	0	0	1	0	0	0	1	0	1	1	1	0	1	1	1	0	0	1	1	1	1	0	1	0	0	0	0	0	0	0	1	1	1	1	0	1	1	1	1	1	0	0	0	1	0	0	1	0	0	1	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	1	0	0	1	0	0	1	1	0	1	0	1	0
