OTU	Domain	Phylum	Class	Order	Family	Genus	Species
NmSA10	Phage	not determined	not determined	not determined	F3	G8	NmSA10
NmSA11	Phage	not determined	not determined	not determined	F3	G11	NmSA11
NmSA12	Phage	not determined	not determined	not determined	F3	G6	NmSA12
NmSA13	Phage	not determined	not determined	not determined	F3	G7	NmSA13
NmSA14	Phage	not determined	not determined	not determined	F3	G11	NmSA14
NmSA15	Phage	not determined	not determined	not determined	F3	G10	NmSA15
NmSA16	Phage	not determined	not determined	not determined	F3	G14	NmSA16
NmSA17	Phage	not determined	not determined	not determined	F3	G5	NmSA17
NmSA18	Phage	not determined	not determined	not determined	F3	G14	NmSA18
NmSA19	Phage	not determined	not determined	not determined	F3	G8	NmSA19
NmSA1	Phage	not determined	not determined	not determined	F3	G3	NmSA1
NmSA20	Phage	not determined	not determined	not determined	F3	G7	NmSA20
NmSA21	Phage	not determined	not determined	not determined	F3	G7	NmSA21
NmSA22	Phage	not determined	not determined	not determined	F3	G10	NmSA22
NmSA23	Phage	not determined	not determined	not determined	F3	G12	NmSA23
NmSA24	Phage	not determined	not determined	not determined	F3	G9	NmSA24
NmSA25	Phage	not determined	not determined	not determined	F3	G14	NmSA25
NmSA26	Phage	not determined	not determined	not determined	F3	G8	NmSA26
NmSA27	Phage	not determined	not determined	not determined	F3	G11	NmSA27
NmSA28	Phage	not determined	not determined	not determined	F3	G8	NmSA28
NmSA29	Phage	not determined	not determined	not determined	F3	G11	NmSA29
NmSA2	Phage	not determined	not determined	not determined	F1	G4	NmSA2
NmSA30	Phage	not determined	not determined	not determined	F3	G11	NmSA30
NmSA31	Phage	not determined	not determined	not determined	F3	G8	NmSA31
NmSA32	Phage	not determined	not determined	not determined	F2	G13	NmSA32
NmSA33	Phage	not determined	not determined	not determined	F3	G7	NmSA33
NmSA34	Phage	not determined	not determined	not determined	F2	G13	NmSA34
NmSA35	Phage	not determined	not determined	not determined	F3	G11	NmSA35
NmSA36	Phage	not determined	not determined	not determined	F2	G2	NmSA36
NmSA37	Phage	not determined	not determined	not determined	F3	G5	NmSA37
NmSA38	Phage	not determined	not determined	not determined	F3	G8	NmSA38
NmSA39	Phage	not determined	not determined	not determined	F3	G14	NmSA39
NmSA3	Phage	not determined	not determined	not determined	F1	G4	NmSA3
NmSA40	Phage	not determined	not determined	not determined	F3	G11	NmSA40
NmSA41	Phage	not determined	not determined	not determined	F3	G7	NmSA41
NmSA42	Phage	not determined	not determined	not determined	F3	G1	NmSA42
NmSA43	Phage	not determined	not determined	not determined	F3	G7	NmSA43
NmSA44	Phage	not determined	not determined	not determined	F3	G10	NmSA44
NmSA45	Phage	not determined	not determined	not determined	F3	G12	NmSA45
NmSA46	Phage	not determined	not determined	not determined	F3	G7	NmSA46
NmSA47	Phage	not determined	not determined	not determined	F3	G8	NmSA47
NmSA48	Phage	not determined	not determined	not determined	F3	G10	NmSA48
NmSA49	Phage	not determined	not determined	not determined	F3	G11	NmSA49
NmSA4	Phage	not determined	not determined	not determined	F3	G8	NmSA4
NmSA50	Phage	not determined	not determined	not determined	F3	G7	NmSA50
NmSA51	Phage	not determined	not determined	not determined	F3	G8	NmSA51
NmSA52	Phage	not determined	not determined	not determined	F3	G12	NmSA52
NmSA53	Phage	not determined	not determined	not determined	F3	G11	NmSA53
NmSA54	Phage	not determined	not determined	not determined	F3	G12	NmSA54
NmSA55	Phage	not determined	not determined	not determined	F3	G14	NmSA55
NmSA56	Phage	not determined	not determined	not determined	F3	G8	NmSA56
NmSA5	Phage	not determined	not determined	not determined	F3	G12	NmSA5
NmSA6	Phage	not determined	not determined	not determined	F3	G8	NmSA6
NmSA7	Phage	not determined	not determined	not determined	F3	G8	NmSA7
NmSA8	Phage	not determined	not determined	not determined	F3	G8	NmSA8
NmSA9	Phage	not determined	not determined	not determined	F3	G8	NmSA9
