protein_id,contig_id,keywords
NmSA10_1,NmSA10,none
NmSA10_2,NmSA10,none
NmSA10_3,NmSA10,none
NmSA10_4,NmSA10,none
NmSA10_5,NmSA10,none
NmSA10_6,NmSA10,none
NmSA10_7,NmSA10,none
NmSA10_8,NmSA10,none
NmSA10_9,NmSA10,none
NmSA10_10,NmSA10,none
NmSA10_11,NmSA10,none
NmSA10_12,NmSA10,none
NmSA10_13,NmSA10,none
NmSA10_14,NmSA10,none
NmSA10_15,NmSA10,none
NmSA10_16,NmSA10,none
NmSA10_17,NmSA10,none
NmSA10_18,NmSA10,none
NmSA10_19,NmSA10,none
NmSA10_20,NmSA10,none
NmSA10_21,NmSA10,none
NmSA10_22,NmSA10,none
NmSA10_23,NmSA10,none
NmSA10_24,NmSA10,none
NmSA10_25,NmSA10,none
NmSA10_26,NmSA10,none
NmSA10_27,NmSA10,none
NmSA10_28,NmSA10,none
NmSA10_29,NmSA10,none
NmSA10_30,NmSA10,none
NmSA10_31,NmSA10,none
NmSA10_32,NmSA10,none
NmSA10_33,NmSA10,none
NmSA10_34,NmSA10,none
NmSA10_35,NmSA10,none
NmSA10_36,NmSA10,none
NmSA10_37,NmSA10,none
NmSA10_38,NmSA10,none
NmSA10_39,NmSA10,none
NmSA10_40,NmSA10,none
NmSA10_41,NmSA10,none
NmSA10_42,NmSA10,none
NmSA10_43,NmSA10,none
NmSA10_44,NmSA10,none
NmSA10_45,NmSA10,none
NmSA10_46,NmSA10,none
NmSA10_47,NmSA10,none
NmSA10_48,NmSA10,none
NmSA10_49,NmSA10,none
NmSA11_1,NmSA11,none
NmSA11_2,NmSA11,none
NmSA11_3,NmSA11,none
NmSA11_4,NmSA11,none
NmSA11_5,NmSA11,none
NmSA11_6,NmSA11,none
NmSA11_7,NmSA11,none
NmSA11_8,NmSA11,none
NmSA11_9,NmSA11,none
NmSA11_10,NmSA11,none
NmSA11_11,NmSA11,none
NmSA11_12,NmSA11,none
NmSA11_13,NmSA11,none
NmSA12_1,NmSA12,none
NmSA12_2,NmSA12,none
NmSA12_3,NmSA12,none
NmSA12_4,NmSA12,none
NmSA12_5,NmSA12,none
NmSA12_6,NmSA12,none
NmSA12_7,NmSA12,none
NmSA12_8,NmSA12,none
NmSA12_9,NmSA12,none
NmSA12_10,NmSA12,none
NmSA13_1,NmSA13,none
NmSA13_2,NmSA13,none
NmSA13_3,NmSA13,none
NmSA13_4,NmSA13,none
NmSA13_5,NmSA13,none
NmSA13_6,NmSA13,none
NmSA13_7,NmSA13,none
NmSA13_8,NmSA13,none
NmSA13_9,NmSA13,none
NmSA13_10,NmSA13,none
NmSA13_11,NmSA13,none
NmSA13_12,NmSA13,none
NmSA13_13,NmSA13,none
NmSA13_14,NmSA13,none
NmSA13_15,NmSA13,none
NmSA14_1,NmSA14,none
NmSA14_2,NmSA14,none
NmSA14_3,NmSA14,none
NmSA14_4,NmSA14,none
NmSA14_5,NmSA14,none
NmSA14_6,NmSA14,none
NmSA14_7,NmSA14,none
NmSA14_8,NmSA14,none
NmSA14_9,NmSA14,none
NmSA14_10,NmSA14,none
NmSA14_11,NmSA14,none
NmSA14_12,NmSA14,none
NmSA14_13,NmSA14,none
NmSA14_14,NmSA14,none
NmSA14_15,NmSA14,none
NmSA14_16,NmSA14,none
NmSA14_17,NmSA14,none
NmSA14_18,NmSA14,none
NmSA14_19,NmSA14,none
NmSA14_20,NmSA14,none
NmSA14_21,NmSA14,none
NmSA14_22,NmSA14,none
NmSA14_23,NmSA14,none
NmSA14_24,NmSA14,none
NmSA14_25,NmSA14,none
NmSA14_26,NmSA14,none
NmSA14_27,NmSA14,none
NmSA14_28,NmSA14,none
NmSA14_29,NmSA14,none
NmSA14_30,NmSA14,none
NmSA14_31,NmSA14,none
NmSA14_32,NmSA14,none
NmSA14_33,NmSA14,none
NmSA14_34,NmSA14,none
NmSA14_35,NmSA14,none
NmSA14_36,NmSA14,none
NmSA14_37,NmSA14,none
NmSA14_38,NmSA14,none
NmSA14_39,NmSA14,none
NmSA14_40,NmSA14,none
NmSA14_41,NmSA14,none
NmSA14_42,NmSA14,none
NmSA14_43,NmSA14,none
NmSA14_44,NmSA14,none
NmSA14_45,NmSA14,none
NmSA14_46,NmSA14,none
NmSA14_47,NmSA14,none
NmSA14_48,NmSA14,none
NmSA14_49,NmSA14,none
NmSA14_50,NmSA14,none
NmSA14_51,NmSA14,none
NmSA14_52,NmSA14,none
NmSA14_53,NmSA14,none
NmSA14_54,NmSA14,none
NmSA14_55,NmSA14,none
NmSA14_56,NmSA14,none
NmSA14_57,NmSA14,none
NmSA14_58,NmSA14,none
NmSA14_59,NmSA14,none
NmSA14_60,NmSA14,none
NmSA14_61,NmSA14,none
NmSA15_1,NmSA15,none
NmSA15_2,NmSA15,none
NmSA15_3,NmSA15,none
NmSA15_4,NmSA15,none
NmSA15_5,NmSA15,none
NmSA15_6,NmSA15,none
NmSA15_7,NmSA15,none
NmSA15_8,NmSA15,none
NmSA15_9,NmSA15,none
NmSA15_10,NmSA15,none
NmSA15_11,NmSA15,none
NmSA15_12,NmSA15,none
NmSA15_13,NmSA15,none
NmSA15_14,NmSA15,none
NmSA15_15,NmSA15,none
NmSA15_16,NmSA15,none
NmSA15_17,NmSA15,none
NmSA15_18,NmSA15,none
NmSA15_19,NmSA15,none
NmSA15_20,NmSA15,none
NmSA15_21,NmSA15,none
NmSA15_22,NmSA15,none
NmSA15_23,NmSA15,none
NmSA15_24,NmSA15,none
NmSA15_25,NmSA15,none
NmSA15_26,NmSA15,none
NmSA15_27,NmSA15,none
NmSA15_28,NmSA15,none
NmSA15_29,NmSA15,none
NmSA15_30,NmSA15,none
NmSA15_31,NmSA15,none
NmSA15_32,NmSA15,none
NmSA15_33,NmSA15,none
NmSA15_34,NmSA15,none
NmSA15_35,NmSA15,none
NmSA15_36,NmSA15,none
NmSA15_37,NmSA15,none
NmSA15_38,NmSA15,none
NmSA15_39,NmSA15,none
NmSA15_40,NmSA15,none
NmSA15_41,NmSA15,none
NmSA15_42,NmSA15,none
NmSA15_43,NmSA15,none
NmSA15_44,NmSA15,none
NmSA15_45,NmSA15,none
NmSA15_46,NmSA15,none
NmSA15_47,NmSA15,none
NmSA15_48,NmSA15,none
NmSA15_49,NmSA15,none
NmSA15_50,NmSA15,none
NmSA15_51,NmSA15,none
NmSA15_52,NmSA15,none
NmSA15_53,NmSA15,none
NmSA16_1,NmSA16,none
NmSA16_2,NmSA16,none
NmSA16_3,NmSA16,none
NmSA16_4,NmSA16,none
NmSA16_5,NmSA16,none
NmSA16_6,NmSA16,none
NmSA16_7,NmSA16,none
NmSA16_8,NmSA16,none
NmSA16_9,NmSA16,none
NmSA16_10,NmSA16,none
NmSA16_11,NmSA16,none
NmSA16_12,NmSA16,none
NmSA16_13,NmSA16,none
NmSA17_1,NmSA17,none
NmSA17_2,NmSA17,none
NmSA17_3,NmSA17,none
NmSA17_4,NmSA17,none
NmSA17_5,NmSA17,none
NmSA17_6,NmSA17,none
NmSA17_7,NmSA17,none
NmSA17_8,NmSA17,none
NmSA17_9,NmSA17,none
NmSA17_10,NmSA17,none
NmSA18_1,NmSA18,none
NmSA18_2,NmSA18,none
NmSA18_3,NmSA18,none
NmSA18_4,NmSA18,none
NmSA18_5,NmSA18,none
NmSA18_6,NmSA18,none
NmSA18_7,NmSA18,none
NmSA18_8,NmSA18,none
NmSA18_9,NmSA18,none
NmSA18_10,NmSA18,none
NmSA18_11,NmSA18,none
NmSA18_12,NmSA18,none
NmSA18_13,NmSA18,none
NmSA19_1,NmSA19,none
NmSA19_2,NmSA19,none
NmSA19_3,NmSA19,none
NmSA19_4,NmSA19,none
NmSA19_5,NmSA19,none
NmSA19_6,NmSA19,none
NmSA19_7,NmSA19,none
NmSA19_8,NmSA19,none
NmSA19_9,NmSA19,none
NmSA19_10,NmSA19,none
NmSA19_11,NmSA19,none
NmSA19_12,NmSA19,none
